_date,total_views,unique_views
2025-10-15,1,1
2025-10-16,7,2
2025-10-17,1,1
2025-10-18,1,1
2025-10-21,3,3
2025-10-22,18,5
2025-10-26,4,2
2025-10-27,1,1
2025-10-28,1,1
2025-10-31,1,1
2025-11-01,1,1
2025-11-03,2,2
2025-11-09,1,1
2025-11-10,5,1
2025-11-12,2,2
2025-11-13,1,1
2025-11-15,1,1
